category,activity_code,met,suggested_spoons,activity_clean,activity_description,source
Home Activities,05186,3.5,3,"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort","Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort",2024 Adult Compendium of Physical Activities
Home Activities,05188,1.5,1,Reclining with baby,Reclining with baby,2024 Adult Compendium of Physical Activities
Home Activities,05189,2.0,2,"Breastfeeding, sitting or reclining","Breastfeeding, sitting or reclining",2024 Adult Compendium of Physical Activities
Home Activities,05190,2.5,2,"Sit, playing with animals, light, only active period","Sit, playing with animals, light, only active period",2024 Adult Compendium of Physical Activities
Home Activities,05191,2.8,3,"Stand, playing with animals, light effort, only active periods","Stand, playing with animals, light effort, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05192,2.8,3,"Walk or run, playing with animals, general, light effort, only active periods","Walk or run, playing with animals, general, light effort, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05193,4.0,3,"Walk/run, playing with animals, moderate effort, only active periods","Walk/run, playing with animals, moderate effort, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05194,5.0,4,"Walk/run, playing with animals, vigorous effort, only active periods","Walk/run, playing with animals, vigorous effort, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05195,3.5,3,"Standing, bathing dog","Standing, bathing dog",2024 Adult Compendium of Physical Activities
Home Activities,05197,2.3,2,"Animal care, household animals, general","Animal care, household animals, general",2024 Adult Compendium of Physical Activities
Home Activities,05200,3.0,3,"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods","Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05205,1.8,2,"Elder care, disabled adult, feeding, combing hair, light effort, only active periods","Elder care, disabled adult, feeding, combing hair, light effort, only active periods",2024 Adult Compendium of Physical Activities
Home Activities,05300,1.3,1,Handwashing,Handwashing,2024 Adult Compendium of Physical Activities
Home Repair,06010,3.0,3,Airplane repair,Airplane repair,2024 Adult Compendium of Physical Activities
Home Repair,06020,4.0,3,Automobile body work,Automobile body work,2024 Adult Compendium of Physical Activities
Home Repair,06030,3.3,3,"Automobile repair, light or moderate effort","Automobile repair, light or moderate effort",2024 Adult Compendium of Physical Activities
Home Repair,06040,3.0,3,"Carpentry, general, workshop","Carpentry, general, workshop (Taylor Code 620)",2024 Adult Compendium of Physical Activities
Home Repair,06050,6.0,4,"Carpentry, outside house,","Carpentry, outside house, (Taylor Code 640)",2024 Adult Compendium of Physical Activities
Home Repair,06052,3.8,3,"Carpentry, outside house, building a fence","Carpentry, outside house, building a fence",2024 Adult Compendium of Physical Activities
Home Repair,06060,3.3,3,"Carpentry, finishing, varnishing, or refinishing cabinets or furniture","Carpentry, finishing, varnishing, or refinishing cabinets or furniture",2024 Adult Compendium of Physical Activities
Home Repair,06070,6.0,4,"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort","Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort",2024 Adult Compendium of Physical Activities
Home Repair,06072,4.0,3,"Carpentry, home remodeling tasks, moderate effort","Carpentry, home remodeling tasks, moderate effort",2024 Adult Compendium of Physical Activities
Home Repair,06074,2.3,2,"Carpentry, home remodeling tasks, light effort","Carpentry, home remodeling tasks, light effort",2024 Adult Compendium of Physical Activities
Home Repair,06080,5.0,4,"Caulking, chinking log cabin","Caulking, chinking log cabin",2024 Adult Compendium of Physical Activities
Home Repair,06090,4.5,4,"Caulking, except log cabin","Caulking, except log cabin",2024 Adult Compendium of Physical Activities
Home Repair,06100,5.0,4,Cleaning gutters,Cleaning gutters,2024 Adult Compendium of Physical Activities
Home Repair,06110,5.0,4,Excavating garage,Excavating garage,2024 Adult Compendium of Physical Activities
Home Repair,06120,5.0,4,Hanging storm windows,Hanging storm windows,2024 Adult Compendium of Physical Activities
Home Repair,06122,5.0,4,Hanging sheet rock inside house,Hanging sheet rock inside house,2024 Adult Compendium of Physical Activities
Home Repair,06124,3.0,3,Hammering nails,Hammering nails,2024 Adult Compendium of Physical Activities
Home Repair,06126,2.5,2,"Home repair, general, light effort","Home repair, general, light effort",2024 Adult Compendium of Physical Activities
Home Repair,06127,4.5,4,"Home repair, general, moderate effort","Home repair, general, moderate effort",2024 Adult Compendium of Physical Activities
Home Repair,06128,6.0,4,"Home repair, general, vigorous effort","Home repair, general, vigorous effort",2024 Adult Compendium of Physical Activities
Home Repair,06130,4.5,4,Laying or removing carpet,Laying or removing carpet,2024 Adult Compendium of Physical Activities
Home Repair,06140,3.8,3,Laying tile or linoleum,Laying tile or linoleum,2024 Adult Compendium of Physical Activities
Home Repair,06144,3.0,3,Repairing appliances,Repairing appliances,2024 Adult Compendium of Physical Activities
Home Repair,06150,5.0,4,"Painting, outside home","Painting, outside home (Taylor Code 650)",2024 Adult Compendium of Physical Activities
Home Repair,06160,3.3,3,"Painting inside house, wallpapering, scraping paint","Painting inside house, wallpapering, scraping paint",2024 Adult Compendium of Physical Activities
Home Repair,06165,4.5,4,Painting,Painting (Taylor Code 630),2024 Adult Compendium of Physical Activities
Home Repair,06167,3.0,3,"Plumbing, general","Plumbing, general",2024 Adult Compendium of Physical Activities
Home Repair,06170,3.0,3,Put on and removal of tarp - sailboat,Put on and removal of tarp - sailboat,2024 Adult Compendium of Physical Activities
Home Repair,06180,6.0,4,Roofing,Roofing,2024 Adult Compendium of Physical Activities
Home Repair,06190,4.5,4,Sanding floors with a power sander,Sanding floors with a power sander,2024 Adult Compendium of Physical Activities
Home Repair,06200,4.5,4,Scraping and painting sailboat or powerboat,Scraping and painting sailboat or powerboat,2024 Adult Compendium of Physical Activities
Home Repair,06205,2.0,2,Sharpening tools,Sharpening tools,2024 Adult Compendium of Physical Activities
Home Repair,06210,5.0,4,Spreading dirt with a shovel,Spreading dirt with a shovel,2024 Adult Compendium of Physical Activities
Home Repair,06220,4.5,4,Washing and waxing hull of sailboat or airplane,Washing and waxing hull of sailboat or airplane,2024 Adult Compendium of Physical Activities
Home Repair,06225,2.0,2,Washing and waxing car,Washing and waxing car,2024 Adult Compendium of Physical Activities
Home Repair,06230,4.5,4,"Washing fence, painting fence, moderate effort","Washing fence, painting fence, moderate effort",2024 Adult Compendium of Physical Activities
Home Repair,06240,3.3,3,"Wiring, tapping-splicing","Wiring, tapping-splicing",2024 Adult Compendium of Physical Activities
Inactivity,07009,1.0,1,Lying quietly and watching television,Lying quietly and watching television,2024 Adult Compendium of Physical Activities
Inactivity,07011,1.0,1,"Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)","Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",2024 Adult Compendium of Physical Activities
Inactivity,07020,1.0,1,"Sit, watch television","Sit, watch television",2024 Adult Compendium of Physical Activities
Inactivity,07021,1.0,1,"Sitting quietly, general","Sitting quietly, general",2024 Adult Compendium of Physical Activities
Inactivity,07022,1.5,1,"Sitting quietly, fidgeting, general, fidgeting hands","Sitting quietly, fidgeting, general, fidgeting hands",2024 Adult Compendium of Physical Activities
Inactivity,07023,1.8,2,"Sitting, fidget feet","Sitting, fidget feet",2024 Adult Compendium of Physical Activities
Inactivity,07024,1.3,1,Sitting smoking,Sitting smoking,2024 Adult Compendium of Physical Activities
Inactivity,07025,1.5,1,"Sitting, listening to music (not talking or reading) or watching a movie in a theater","Sitting, listening to music (not talking or reading) or watching a movie in a theater",2024 Adult Compendium of Physical Activities
Inactivity,07026,1.3,1,"Sitting at a desk, resting head in hands","Sitting at a desk, resting head in hands",2024 Adult Compendium of Physical Activities
Inactivity,07030,1.0,1,Sleeping,Sleeping,2024 Adult Compendium of Physical Activities
Inactivity,07040,1.3,1,Standing quietly (standing in a line),Standing quietly (standing in a line),2024 Adult Compendium of Physical Activities
Inactivity,07041,1.5,1,Standing (fidgeting),Standing (fidgeting),2024 Adult Compendium of Physical Activities
Inactivity,07045,1.3,1,Standing watching television,Standing watching television,2024 Adult Compendium of Physical Activities
Inactivity,07050,1.5,1,"Reclining, writing","Reclining, writing",2024 Adult Compendium of Physical Activities
Inactivity,07060,1.3,1,"Reclining, talking or talking on phone","Reclining, talking or talking on phone",2024 Adult Compendium of Physical Activities
Inactivity,07070,1.3,1,"Reclining, reading","Reclining, reading",2024 Adult Compendium of Physical Activities
Inactivity,07075,1.0,1,Meditating,Meditating,2024 Adult Compendium of Physical Activities
Lawn & Garden,08009,4.1,4,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort","Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08010,5.5,4,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort","Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08019,4.5,4,"Chopping wood, splitting logs, moderate effort","Chopping wood, splitting logs, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08020,6.5,5,"Chopping wood, splitting logs, vigorous effort","Chopping wood, splitting logs, vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08025,3.5,3,"Clearing light brush, thinning garden, moderate effort","Clearing light brush, thinning garden, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08030,6.3,5,"Clearing land, haul brush, undergrowth, or ground, vigorous effort","Clearing land, haul brush, undergrowth, or ground, vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08040,5.0,4,"Digging sandbox, shoveling sand","Digging sandbox, shoveling sand",2024 Adult Compendium of Physical Activities
Lawn & Garden,08045,3.5,3,"Digging, spading, filling garden, composting, light-to-moderate effort","Digging, spading, filling garden, composting, light-to-moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08050,5.0,4,"Digging, spading, filling garden, composting","Digging, spading, filling garden, composting (Taylor Code 590)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08052,7.3,5,"Digging, spading, filling garden, composting, vigorous effort","Digging, spading, filling garden, composting, vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08055,2.8,3,Driving tractor,Driving tractor,2024 Adult Compendium of Physical Activities
Lawn & Garden,08057,8.3,5,"Felling trees, large size","Felling trees, large size",2024 Adult Compendium of Physical Activities
Lawn & Garden,08058,5.3,4,"Felling trees, small-medium size","Felling trees, small-medium size",2024 Adult Compendium of Physical Activities
Lawn & Garden,08060,5.8,4,"Gardening with heavy power tools, using chain saw, tilling a garden","Gardening with heavy power tools, using chain saw, tilling a garden",2024 Adult Compendium of Physical Activities
Lawn & Garden,08066,2.0,2,"gardening, general","gardening, general",2024 Adult Compendium of Physical Activities
Lawn & Garden,08070,4.0,3,"Irrigation channels, opening and closing ports","Irrigation channels, opening and closing ports",2024 Adult Compendium of Physical Activities
Lawn & Garden,08080,6.3,5,Laying crushed rock or gravel,Laying crushed rock or gravel,2024 Adult Compendium of Physical Activities
Lawn & Garden,08090,5.0,4,Laying sod,Laying sod,2024 Adult Compendium of Physical Activities
Lawn & Garden,08095,5.5,4,"Mowing lawn, general, walking, moderate effort","Mowing lawn, general, walking, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08100,2.5,2,"Mowing lawn, riding mower","Mowing lawn, riding mower (Taylor Code 550)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08110,6.0,4,"Mowing lawn, hand mower, vigorous effort","Mowing lawn, hand mower, vigorous effort (Taylor Code 570)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08120,5.0,4,"Mowing lawn, walk, power mower, moderate or vigorous effort","Mowing lawn, walk, power mower, moderate or vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08125,4.5,4,"Mowing lawn, power mower, light or moderate effort","Mowing lawn, power mower, light or moderate effort (Taylor Code 590)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08130,2.5,2,"Operating snow blower, walking","Operating snow blower, walking",2024 Adult Compendium of Physical Activities
Lawn & Garden,08135,2.6,3,"Planting, potting, transplanting seedlings or plants, light effort","Planting, potting, transplanting seedlings or plants, light effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08140,4.3,4,"Planting seedlings, shrubs, stooping, moderate effort","Planting seedlings, shrubs, stooping, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08145,4.3,4,"Planting crops or garden, stooping, moderate effort","Planting crops or garden, stooping, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08150,4.5,4,Planting trees,Planting trees,2024 Adult Compendium of Physical Activities
Lawn & Garden,08160,4.0,3,"Raking lawn or leaves, moderate effort","Raking lawn or leaves, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08165,4.0,3,Raking lawn,Raking lawn (Taylor Code 600),2024 Adult Compendium of Physical Activities
Lawn & Garden,08170,4.0,3,Raking roof with snow rake,Raking roof with snow rake,2024 Adult Compendium of Physical Activities
Lawn & Garden,08180,3.0,3,Riding snow blower,Riding snow blower,2024 Adult Compendium of Physical Activities
Lawn & Garden,08190,4.0,3,"Sacking grass, leaves","Sacking grass, leaves",2024 Adult Compendium of Physical Activities
Lawn & Garden,08192,5.5,4,Shoveling dirt or mud,Shoveling dirt or mud,2024 Adult Compendium of Physical Activities
Lawn & Garden,08195,5.3,4,"Shoveling snow, by hand, moderate effort","Shoveling snow, by hand, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08200,6.0,4,"Shoveling snow, by hand","Shoveling snow, by hand (Taylor Code 610)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08202,7.5,5,"Shoveling snow, by hand, vigorous effort","Shoveling snow, by hand, vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08210,3.8,3,"Trimming shrubs or trees, manual cutter","Trimming shrubs or trees, manual cutter",2024 Adult Compendium of Physical Activities
Lawn & Garden,08215,3.3,3,"Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort","Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08220,3.0,3,"Walking, applying fertilizer or seeding a lawn, push applicator","Walking, applying fertilizer or seeding a lawn, push applicator",2024 Adult Compendium of Physical Activities
Lawn & Garden,08230,4.0,3,"Watering lawn or garden, standing or walking","Watering lawn or garden, standing or walking",2024 Adult Compendium of Physical Activities
Lawn & Garden,08239,3.8,3,"Weeding, cultivating garden, light-to-moderate effort","Weeding, cultivating garden, light-to-moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08240,4.5,4,"Weeding, cultivating garden, moderate effort","Weeding, cultivating garden, moderate effort (Taylor Code 580)",2024 Adult Compendium of Physical Activities
Lawn & Garden,08241,5.0,4,"Weeding, cultivating garden, using hoe moderate-to-vigorous effort","Weeding, cultivating garden, using hoe moderate-to-vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08245,3.8,3,"Gardening, general, moderate effort","Gardening, general, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08246,3.5,3,"Picking fruit or coffee from trees, moderate effort","Picking fruit or coffee from trees, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08248,4.5,4,"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort","Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08250,3.0,3,"Implied walking/standing - picking up yard, light, picking flowers or vegetables","Implied walking/standing - picking up yard, light, picking flowers or vegetables",2024 Adult Compendium of Physical Activities
Lawn & Garden,08251,3.0,3,"Walking, gathering gardening tools","Walking, gathering gardening tools",2024 Adult Compendium of Physical Activities
Lawn & Garden,08255,4.8,4,"Wheel barrow, pushing garden cart or wheelbarrow, general","Wheel barrow, pushing garden cart or wheelbarrow, general",2024 Adult Compendium of Physical Activities
Lawn & Garden,08256,6.0,4,"Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg","Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg",2024 Adult Compendium of Physical Activities
Lawn & Garden,08260,2.3,2,"Yardwork, general, light effort","Yardwork, general, light effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08261,4.0,3,"Yardwork, general, moderate effort","Yardwork, general, moderate effort",2024 Adult Compendium of Physical Activities
Lawn & Garden,08262,6.0,4,"Yardwork, general, vigorous effort","Yardwork, general, vigorous effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09000,1.3,1,"Board game playing, sitting","Board game playing, sitting",2024 Adult Compendium of Physical Activities
Miscellaneous,09005,2.5,2,"Casino gambling, standing","Casino gambling, standing",2024 Adult Compendium of Physical Activities
Miscellaneous,09010,1.5,1,"Card playing, sitting","Card playing, sitting",2024 Adult Compendium of Physical Activities
Miscellaneous,09013,1.5,1,"Chess game, sitting","Chess game, sitting",2024 Adult Compendium of Physical Activities
Miscellaneous,09015,1.5,1,"Copying or filing documents, standing","Copying or filing documents, standing",2024 Adult Compendium of Physical Activities
Miscellaneous,09020,1.8,2,"Drawing, writing, painting, standing","Drawing, writing, painting, standing",2024 Adult Compendium of Physical Activities
Miscellaneous,09025,1.0,1,"Laughter, sitting","Laughter, sitting",2024 Adult Compendium of Physical Activities
Miscellaneous,09030,1.0,1,"Sitting: reading, book, newspaper, magazine","Sitting: reading, book, newspaper, magazine",2024 Adult Compendium of Physical Activities
Miscellaneous,09034,1.8,2,"sitting, typing or reading on a balance chair/stability ball","sitting, typing or reading on a balance chair/stability ball",2024 Adult Compendium of Physical Activities
Miscellaneous,09036,2.0,2,"watching tv, stepping during commercial breaks","watching tv, stepping during commercial breaks",2024 Adult Compendium of Physical Activities
Miscellaneous,09040,1.3,1,"Sitting: writing, desk work, typing","Sitting: writing, desk work, typing",2024 Adult Compendium of Physical Activities
Miscellaneous,09050,1.3,1,"Standing: talking in person, on the phone, computer, text messaging, writing","Standing: talking in person, on the phone, computer, text messaging, writing",2024 Adult Compendium of Physical Activities
Miscellaneous,09055,1.3,1,"Sitting: talking in person, on the phone, computer, or text messaging, light effort","Sitting: talking in person, on the phone, computer, or text messaging, light effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09060,1.5,1,"Sitting - studying, general, including reading and/or writing, light effort","Sitting - studying, general, including reading and/or writing, light effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09065,1.8,2,"Sitting - in class, general, including note-taking or class discussion","Sitting - in class, general, including note-taking or class discussion",2024 Adult Compendium of Physical Activities
Miscellaneous,09070,1.0,1,Standing - reading,Standing - reading,2024 Adult Compendium of Physical Activities
Miscellaneous,09071,2.5,2,Standing: miscellaneous,Standing: miscellaneous,2024 Adult Compendium of Physical Activities
Miscellaneous,09075,1.8,2,"Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort","Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09080,3.0,3,"Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort","Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09085,2.5,2,"Standing: arts and crafts, sand painting, carving, weaving, light effort","Standing: arts and crafts, sand painting, carving, weaving, light effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09090,3.3,3,"Standing - arts and crafts, sand painting, carving, weaving, moderate effort","Standing - arts and crafts, sand painting, carving, weaving, moderate effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09095,3.5,3,"Standing - arts and crafts, sand painting, carving, weaving, vigorous effort","Standing - arts and crafts, sand painting, carving, weaving, vigorous effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09100,1.5,1,"Retreat/family reunion activities involving sitting, relaxing, talking, eating","Retreat/family reunion activities involving sitting, relaxing, talking, eating",2024 Adult Compendium of Physical Activities
Miscellaneous,09101,2.5,2,Retreat/family reunion activities involving playing games with children,Retreat/family reunion activities involving playing games with children,2024 Adult Compendium of Physical Activities
Miscellaneous,09105,2.0,2,Touring/traveling/vacation involving riding in vehicle,Touring/traveling/vacation involving riding in vehicle,2024 Adult Compendium of Physical Activities
Miscellaneous,09106,3.5,3,Touring/traveling/vacation involving walking,Touring/traveling/vacation involving walking,2024 Adult Compendium of Physical Activities
Miscellaneous,09110,2.5,2,"Camping involving standing, walking, sitting, light-to-moderate effort","Camping involving standing, walking, sitting, light-to-moderate effort",2024 Adult Compendium of Physical Activities
Miscellaneous,09115,1.5,1,"Sitting at a sporting event, spectator","Sitting at a sporting event, spectator",2024 Adult Compendium of Physical Activities
Music Playing,10010,1.8,2,"Accordion, sitting","Accordion, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10020,2.3,2,"Cello, sitting","Cello, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10030,2.3,2,"Conducting orchestra, standing","Conducting orchestra, standing",2024 Adult Compendium of Physical Activities
Music Playing,10035,2.5,2,"Double bass, standing","Double bass, standing",2024 Adult Compendium of Physical Activities
Music Playing,10040,3.8,3,"Drums, sitting","Drums, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10045,3.0,3,"Drumming (e.g., bongo, conga, benbe), moderate, sitting","Drumming (e.g., bongo, conga, benbe), moderate, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10048,8.3,5,"Drumming, concert/live show","Drumming, concert/live show",2024 Adult Compendium of Physical Activities
Music Playing,10050,2.0,2,"Flute, sitting","Flute, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10060,1.8,2,"Horn, standing","Horn, standing",2024 Adult Compendium of Physical Activities
Music Playing,10070,2.3,2,"Piano, sitting","Piano, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10074,2.0,2,"Playing musical instruments, general","Playing musical instruments, general",2024 Adult Compendium of Physical Activities
Music Playing,10077,2.0,2,"Organ, sitting","Organ, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10080,3.5,3,"Trombone, standing","Trombone, standing",2024 Adult Compendium of Physical Activities
Music Playing,10090,2.5,2,"Trumpet, standing","Trumpet, standing",2024 Adult Compendium of Physical Activities
Music Playing,10100,2.5,2,"Violin, sitting","Violin, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10110,1.8,2,"Woodwind instruments, sitting","Woodwind instruments, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10115,1.8,2,"Brass instruments, sitting","Brass instruments, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10120,2.0,2,"Guitar, classical, folk, sitting","Guitar, classical, folk, sitting",2024 Adult Compendium of Physical Activities
Music Playing,10125,3.0,3,"Guitar, rock and roll band, standing","Guitar, rock and roll band, standing",2024 Adult Compendium of Physical Activities
Music Playing,10130,4.0,3,"Marching band, baton twirling, walking, moderate pace, general","Marching band, baton twirling, walking, moderate pace, general",2024 Adult Compendium of Physical Activities
Music Playing,10131,5.5,4,"Marching band, playing an instrument, walking, brisk pace, general","Marching band, playing an instrument, walking, brisk pace, general",2024 Adult Compendium of Physical Activities
Music Playing,10135,3.5,3,"Marching band, drum major, walking","Marching band, drum major, walking",2024 Adult Compendium of Physical Activities
Occupation,11000,2.0,2,"Active workstation, Pedal desk, balance chair/ball, General, light effort","Active workstation, Pedal desk, balance chair/ball, General, light effort",2024 Adult Compendium of Physical Activities
Occupation,11001,3.5,3,"Active workstation, Pedal desk (40 watts)","Active workstation, Pedal desk (40 watts)",2024 Adult Compendium of Physical Activities
Occupation,11002,5.3,4,"Active workstation, Pedal desk (80 watts)","Active workstation, Pedal desk (80 watts)",2024 Adult Compendium of Physical Activities
Occupation,11003,2.0,2,"Active workstation, treadmill desk, walking slowly 1.0 mph or less","Active workstation, treadmill desk, walking slowly 1.0 mph or less",2024 Adult Compendium of Physical Activities
Occupation,11004,2.8,3,"Active workstation, treadmill desk, walking 1.0 - 2.0 mph","Active workstation, treadmill desk, walking 1.0 - 2.0 mph",2024 Adult Compendium of Physical Activities
Occupation,11006,3.0,3,Airline flight attendant,Airline flight attendant,2024 Adult Compendium of Physical Activities
Occupation,11008,4.8,4,Apple Harvesting,Apple Harvesting,2024 Adult Compendium of Physical Activities
Occupation,11010,4.0,3,"Bakery, general, moderate effort","Bakery, general, moderate effort",2024 Adult Compendium of Physical Activities
Occupation,11015,2.0,2,"Bakery, light effort","Bakery, light effort",2024 Adult Compendium of Physical Activities
Occupation,11020,2.3,2,Bookbinding,Bookbinding,2024 Adult Compendium of Physical Activities
Occupation,11030,6.0,4,"Building road, driving heavy machinery","Building road, driving heavy machinery",2024 Adult Compendium of Physical Activities
Occupation,11035,2.0,2,"Building road, directing traffic, standing","Building road, directing traffic, standing",2024 Adult Compendium of Physical Activities
Occupation,11038,2.5,2,"Carpentry, general, light effort","Carpentry, general, light effort",2024 Adult Compendium of Physical Activities
Occupation,11040,4.3,4,"Carpentry, general, moderate effort","Carpentry, general, moderate effort",2024 Adult Compendium of Physical Activities
Occupation,11042,7.0,5,"Carpentry, general, heavy or vigorous effort","Carpentry, general, heavy or vigorous effort",2024 Adult Compendium of Physical Activities
Occupation,11050,8.0,5,"Carrying heavy loads (e.g., bricks, tools)","Carrying heavy loads (e.g., bricks, tools)",2024 Adult Compendium of Physical Activities
Occupation,11060,8.0,5,"Carrying moderate loads up stairs, moving boxes, 25-49 lbs","Carrying moderate loads up stairs, moving boxes, 25-49 lbs",2024 Adult Compendium of Physical Activities
Occupation,11070,4.0,3,"Chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart","Chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",2024 Adult Compendium of Physical Activities
Occupation,11072,4.3,4,"Cleaning, vacuuming commercial space","Cleaning, vacuuming commercial space",2024 Adult Compendium of Physical Activities
Occupation,11080,5.3,4,"Coal mining, drilling coal, rock","Coal mining, drilling coal, rock",2024 Adult Compendium of Physical Activities
Occupation,11090,5.0,4,"Coal mining, erecting supports","Coal mining, erecting supports",2024 Adult Compendium of Physical Activities
Occupation,11100,5.5,4,"Coal mining, general","Coal mining, general",2024 Adult Compendium of Physical Activities
Occupation,11110,6.3,5,"Coal mining, shoveling coal, by hand","Coal mining, shoveling coal, by hand",2024 Adult Compendium of Physical Activities
Occupation,11115,2.5,2,"Cook, chef","Cook, chef",2024 Adult Compendium of Physical Activities
Occupation,11120,4.0,3,"Construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous)","Construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous)",2024 Adult Compendium of Physical Activities
Occupation,11124,2.3,2,"Construction, rebar, bar bending/fixing","Construction, rebar, bar bending/fixing",2024 Adult Compendium of Physical Activities
Occupation,11125,2.3,2,"Custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning) Custodial work, moderate effort (e.g., buffing floors with electric buffer, feathering or sweeping arena floors, mopping, taking Occupation 11126 3.8 out the trash, vaccuming)","Custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning) Custodial work, moderate effort (e.g., buffing floors with electric buffer, feathering or sweeping arena floors, mopping, taking Occupation 11126 3.8 out the trash, vaccuming)",2024 Adult Compendium of Physical Activities
Occupation,11130,3.3,3,"Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516","Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516",2024 Adult Compendium of Physical Activities
Occupation,11135,1.8,2,"Engineer (e.g., mechanical or electrical)","Engineer (e.g., mechanical or electrical)",2024 Adult Compendium of Physical Activities
